iter	Passed	Remaining
0	63	63682
1	66	33221
2	69	23055
3	71	17912
4	74	14894
5	78	13002
6	80	11451
7	83	10379
8	85	9459
9	88	8724
10	90	8148
11	92	7636
12	94	7207
13	97	6834
14	99	6508
15	101	6216
16	103	5964
17	105	5749
18	107	5553
19	109	5371
20	111	5207
21	114	5068
22	116	4935
23	118	4816
24	120	4699
25	122	4595
26	124	4494
27	126	4402
28	128	4316
29	131	4236
30	133	4164
31	135	4098
32	137	4031
33	139	3965
34	141	3904
35	143	3846
36	145	3795
37	148	3747
38	150	3698
39	152	3653
40	154	3609
41	156	3565
42	158	3526
43	160	3489
44	162	3450
45	165	3425
46	167	3392
47	169	3364
48	171	3333
49	173	3301
50	175	3272
51	177	3244
52	179	3214
53	181	3188
54	184	3162
55	186	3135
56	188	3111
57	190	3087
58	192	3066
59	194	3047
60	196	3026
61	198	3007
62	201	2989
63	203	2969
64	205	2952
65	207	2933
66	209	2916
67	211	2902
68	213	2886
69	216	2871
70	218	2854
71	220	2837
72	222	2819
73	224	2804
74	226	2789
75	228	2775
76	230	2761
77	233	2755
78	235	2745
79	237	2735
80	240	2725
81	242	2714
82	244	2702
83	246	2690
84	248	2678
85	250	2665
86	253	2655
87	254	2642
88	257	2632
89	259	2620
90	261	2612
91	263	2602
92	265	2592
93	267	2581
94	270	2572
95	271	2560
96	274	2552
97	276	2543
98	278	2536
99	280	2526
100	282	2517
101	285	2510
102	287	2500
103	289	2492
104	291	2485
105	294	2481
106	296	2477
107	299	2471
108	301	2462
109	303	2454
110	305	2446
111	307	2439
112	309	2433
113	312	2425
114	314	2419
115	316	2412
116	318	2404
117	320	2396
118	322	2388
119	324	2381
120	326	2373
121	328	2367
122	331	2361
123	333	2354
124	335	2347
125	337	2341
126	339	2336
127	342	2332
128	345	2330
129	347	2324
130	349	2318
131	351	2312
132	353	2305
133	355	2298
134	357	2291
135	359	2285
136	361	2277
137	363	2272
138	366	2267
139	368	2261
140	370	2256
141	372	2249
142	374	2244
143	376	2237
144	378	2232
145	380	2225
146	382	2219
147	384	2214
148	386	2208
149	388	2203
150	390	2197
151	392	2191
152	394	2186
153	397	2181
154	399	2175
155	401	2170
156	403	2165
157	405	2161
158	407	2156
159	409	2150
160	411	2146
161	413	2140
162	416	2136
163	418	2131
164	420	2126
165	422	2122
166	424	2117
167	426	2111
168	428	2107
